temperature,humidity,wind_speed,rainfall,visibility
28.0,37,9.0,0.0,10.0
25.0,44,6.1,0.0,7.0
16.0,88,20.2,0.86,8.0
13.0,67,46.1,0.0,10.0
30.0,84,6.8,1.42,10.0
40.0,19,20.2,0.0,7.0
30.2,56,4.7,0.0,10.0
13.9,83,10.1,0.0,10.0
21.0,64,3.6,0.0,10.0
22.0,23,11.2,0.0,10.0
35.0,37,6.1,0.0,10.0
31.3,25,11.2,0.0,10.0
27.0,89,3.6,0.21,24.0
32.9,44,6.5,0.0,10.0
30.0,75,6.1,0.09,9.0
25.0,100,3.6,0.01,10.0
22.7,55,10.4,0.0,10.0
19.6,81,13.0,0.0,10.0
28.0,74,6.8,0.36,10.0
22.0,29,29.9,0.0,10.0
19.0,52,24.1,0.0,10.0
35.0,35,11.2,0.0,10.0
18.0,52,13.0,0.0,10.0
20.0,37,22.0,0.0,10.0
25.0,61,6.8,0.05,10.0
31.0,79,24.1,0.01,10.0
31.0,79,37.1,0.07,10.0
31.0,75,34.9,0.01,10.0
25.0,94,9.0,0.15,10.0
21.0,56,15.1,0.0,10.0
16.0,68,13.0,0.0,10.0
34.0,12,19.1,0.0,10.0
26.0,70,15.1,0.0,10.0
20.0,56,25.9,0.52,10.0
28.0,84,6.1,0.05,10.0
24.0,89,3.6,0.38,7.0
28.0,89,3.6,0.52,10.0
13.0,94,15.1,0.41,6.0
17.0,55,16.9,0.0,10.0
25.7,86,7.2,0.0,10.0
29.0,89,19.1,0.0,10.0
24.0,22,6.8,0.0,10.0
16.0,82,4.0,0.0,10.0
37.9,8,11.5,0.0,10.0
19.0,40,13.0,0.0,10.0
26.0,94,6.1,0.4,10.0
39.8,6,14.8,0.0,10.0
26.5,90,20.5,1.13,10.0
20.0,32,16.9,0.0,10.0
16.0,55,11.2,0.04,10.0
30.0,19,19.1,0.0,10.0
25.0,54,11.2,0.01,10.0
23.0,48,10.1,0.0,10.0
25.0,74,8.6,0.0,10.0
16.0,63,28.1,0.0,10.0
23.0,100,3.6,0.34,10.0
27.0,94,11.2,0.02,10.0
27.0,37,11.2,0.11,10.0
24.0,39,13.0,0.01,10.0
21.0,73,6.8,0.18,10.0
28.0,89,3.6,0.0,10.0
25.0,74,13.0,0.0,10.0
16.4,59,11.5,0.0,10.0
33.0,44,11.2,0.0,10.0
21.0,43,6.1,0.4,10.0
13.3,31,11.2,0.0,16.0
14.0,67,15.1,0.0,10.0
26.0,58,3.6,0.0,10.0
24.6,86,22.0,0.04,10.0
30.0,79,9.0,0.71,10.0
27.0,84,16.9,0.56,10.0
24.9,30,25.2,0.0,10.0
20.9,41,9.4,0.0,10.0
20.4,38,7.2,0.0,10.0
19.5,46,3.6,0.0,10.0
27.0,51,16.9,1.41,10.0
24.0,57,15.1,0.01,10.0
13.0,42,16.9,0.03,10.0
30.0,66,19.1,0.0,10.0
31.0,71,16.9,0.38,10.0
10.0,82,13.0,0.0,10.0
21.0,17,9.0,0.0,10.0
21.0,60,22.0,0.11,10.0
16.0,59,11.2,0.0,10.0
